open,high,low,close,tick_volume,spread,real_volume,state_hat_H2,margin_H2,ctx_session_bucket,ctx_state_age,ctx_dist_vwap_atr,ctx_vwap_source,ctx_vwap_anchor,LOOK_FOR_balance_vwap_proximity,LOOK_FOR_balance_extreme_to_center,LOOK_FOR_balance_compression,LOOK_FOR_balance_vwap_body_deviation,LOOK_FOR_trend_strong_orderly,LOOK_FOR_trend_liquidity_sweep,LOOK_FOR_trend_prev_vwap_pullback,LOOK_FOR_transition_chop_near_vwap,LOOK_FOR_transition_acceptance,quality_label,quality_label_full,base_state
1871.84,1872.19,1870.67,1871.95,0,0,0,0,0.9112013762678999,ASIA,4,0.011898766053909935,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1871.95,1872.4,1870.82,1871.28,0,0,0,0,0.9112013762678999,ASIA,4,0.011898766053909935,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1871.28,1873.06,1870.8,1872.98,0,0,0,0,0.9647613488892469,ASIA,5,0.3519926538108568,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1872.98,1875.22,1872.95,1874.04,0,0,0,0,0.9647613488892469,ASIA,5,0.3519926538108568,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1874.05,1874.88,1872.64,1872.78,0,0,0,0,0.9647613488892469,ASIA,5,0.3519926538108568,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1872.76,1873.51,1872.12,1873.26,0,0,0,0,0.9647613488892469,ASIA,5,0.3519926538108568,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1873.28,1874.02,1871.26,1871.34,0,0,0,0,0.9883881064628796,LONDON,6,0.6267579706943445,day_anchor_std,ny_rollover_17,0,0,0,1,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1871.35,1873.66,1870.63,1872.03,0,0,0,0,0.9883881064628796,LONDON,6,0.6267579706943445,day_anchor_std,ny_rollover_17,0,0,0,1,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1872.03,1874.45,1871.61,1873.36,0,0,0,0,0.9883881064628796,LONDON,6,0.6267579706943445,day_anchor_std,ny_rollover_17,0,0,0,1,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1873.34,1876.24,1872.78,1875.08,0,0,0,0,0.9883881064628796,LONDON,6,0.6267579706943445,day_anchor_std,ny_rollover_17,0,0,0,1,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1875.08,1877.26,1874.53,1876.25,0,0,0,0,0.9947322199464926,LONDON,7,0.605635070663459,day_anchor_std,ny_rollover_17,0,0,0,1,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1876.24,1877.28,1875.81,1876.85,0,0,0,0,0.9947322199464926,LONDON,7,0.605635070663459,day_anchor_std,ny_rollover_17,0,0,0,1,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1876.89,1877.18,1874.41,1875.45,0,0,0,0,0.9947322199464926,LONDON,7,0.605635070663459,day_anchor_std,ny_rollover_17,0,0,0,1,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1875.45,1876.17,1873.49,1875.15,0,0,0,0,0.9947322199464926,LONDON,7,0.605635070663459,day_anchor_std,ny_rollover_17,0,0,0,1,0,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
1875.15,1876.59,1873.85,1876.46,0,0,0,0,0.7156701070242293,LONDON,8,0.0527478031233979,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
1876.47,1876.99,1874.59,1875.22,0,0,0,0,0.7156701070242293,LONDON,8,0.0527478031233979,day_anchor_std,ny_rollover_17,1,0,0,0,0,0,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
