open,high,low,close,tick_volume,spread,real_volume,state_hat_H2,margin_H2,ctx_session_bucket,ctx_state_age,ctx_dist_vwap_atr,ctx_vwap_source,ctx_vwap_anchor,LOOK_FOR_balance_compression,LOOK_FOR_transition_inventory_reset,LOOK_FOR_transition_initiative,LOOK_FOR_trend_orderly_pullback_asia,LOOK_FOR_trend_orderly_pullback_west,LOOK_FOR_trend_overextended,quality_label,quality_label_full,base_state
4746.75,4750.05,4743.25,4747.05,0,0,0,1,0.9972634421241593,NY,10,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4746.95,4749.95,4740.45,4741.75,0,0,0,1,0.9972634421241593,NY,10,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4741.65,4742.65,4735.65,4739.05,0,0,0,1,0.9974619759816475,NY,11,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4739.05,4740.95,4729.45,4729.45,0,0,0,1,0.9974619759816475,NY,11,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4729.55,4731.05,4725.15,4729.45,0,0,0,1,0.9974619759816475,NY,11,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4729.25,4747.95,4727.45,4747.95,0,0,0,1,0.9974619759816475,NY,11,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4747.45,4748.95,4744.95,4746.75,0,0,0,1,0.992449088227619,NY_PM,12,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4746.75,4749.25,4746.45,4748.25,0,0,0,1,0.992449088227619,NY_PM,12,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
4750.1,4750.75,4746.95,4747.45,0,0,0,2,0.8610345053594063,NY_PM,1,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
4747.45,4748.75,4747.45,4748.75,0,0,0,2,0.8610345053594063,NY_PM,1,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
4748.95,4749.25,4747.95,4748.75,0,0,0,2,0.8610345053594063,NY_PM,1,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
4748.45,4748.95,4745.95,4746.45,0,0,0,2,0.8610345053594063,NY_PM,1,,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
4746.45,4747.45,4745.45,4746.75,0,0,0,2,0.8347260494497103,NY_PM,2,1.5430849591808198,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
4746.45,4747.25,4745.75,4746.35,0,0,0,2,0.8347260494497103,NY_PM,2,1.5430849591808198,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
4746.45,4746.95,4744.45,4744.95,0,0,0,2,0.8347260494497103,NY_PM,2,1.5430849591808198,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
4745.25,4745.95,4744.45,4745.25,0,0,0,2,0.8347260494497103,NY_PM,2,1.5430849591808198,day_anchor_std,server_midnight,0,0,0,0,0,0,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
4745.15,4745.95,4744.45,4744.65,0,0,0,2,0.7969416129663738,ASIA,3,0.06746281164891632,day_anchor_std,server_midnight,0,0,0,1,0,0,TREND_STRONG,TREND_STRONG,TREND
4744.75,4745.75,4744.45,4744.75,0,0,0,2,0.7969416129663738,ASIA,3,0.06746281164891632,day_anchor_std,server_midnight,0,0,0,1,0,0,TREND_STRONG,TREND_STRONG,TREND
4744.75,4744.95,4744.45,4744.45,0,0,0,2,0.7969416129663738,ASIA,3,0.06746281164891632,day_anchor_std,server_midnight,0,0,0,1,0,0,TREND_STRONG,TREND_STRONG,TREND
4744.45,4744.75,4743.25,4743.45,0,0,0,2,0.7969416129663738,ASIA,3,0.06746281164891632,day_anchor_std,server_midnight,0,0,0,1,0,0,TREND_STRONG,TREND_STRONG,TREND
4743.45,4743.75,4741.95,4742.95,0,0,0,2,0.6010061970230045,ASIA,4,0.04761904761900398,day_anchor_std,server_midnight,0,0,0,1,0,0,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
4742.95,4743.95,4742.95,4743.95,0,0,0,2,0.6010061970230045,ASIA,4,0.04761904761900398,day_anchor_std,server_midnight,0,0,0,1,0,0,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
4743.75,4745.75,4743.25,4745.75,0,0,0,2,0.6010061970230045,ASIA,4,0.04761904761900398,day_anchor_std,server_midnight,0,0,0,1,0,0,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
4745.45,4745.75,4744.45,4744.75,0,0,0,2,0.6010061970230045,ASIA,4,0.04761904761900398,day_anchor_std,server_midnight,0,0,0,1,0,0,UNCLASSIFIED,TREND_UNCLASSIFIED,TREND
4744.45,4745.35,4743.25,4745.25,0,0,0,2,0.822649646814336,ASIA,5,0.1938417028311832,day_anchor_std,server_midnight,0,0,0,1,0,0,TREND_STRONG,TREND_STRONG,TREND
4745.45,4746.25,4744.25,4745.25,0,0,0,2,0.822649646814336,ASIA,5,0.1938417028311832,day_anchor_std,server_midnight,0,0,0,1,0,0,TREND_STRONG,TREND_STRONG,TREND
4745.45,4748.95,4743.45,4744.45,0,0,0,2,0.822649646814336,ASIA,5,0.1938417028311832,day_anchor_std,server_midnight,0,0,0,1,0,0,TREND_STRONG,TREND_STRONG,TREND
4744.7,4747.25,4741.45,4741.95,0,0,0,2,0.822649646814336,ASIA,5,0.1938417028311832,day_anchor_std,server_midnight,0,0,0,1,0,0,TREND_STRONG,TREND_STRONG,TREND
