open,high,low,close,tick_volume,spread,real_volume,state_hat_H2,margin_H2,ctx_session_bucket,ctx_state_age,ctx_dist_vwap_atr,ctx_vwap_source,ctx_vwap_anchor,LOOK_FOR_balance_overnight_compression,LOOK_FOR_transition_repricing_london,LOOK_FOR_transition_repricing_ny,LOOK_FOR_trend_pullback_asia,quality_label,quality_label_full,base_state
6879.44,6880.44,6874.69,6874.94,717,100,0,0,0.935579884394902,ASIA,4,0.10242032239404256,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
6874.82,6874.82,6869.19,6872.94,684,100,0,0,0.935579884394902,ASIA,4,0.10242032239404256,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
6872.69,6875.69,6868.94,6870.19,591,100,0,0,0.935579884394902,ASIA,4,0.10242032239404256,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
6870.44,6876.19,6869.94,6875.94,516,100,0,0,0.935579884394902,ASIA,4,0.10242032239404256,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
6875.69,6878.69,6875.44,6877.31,400,100,0,0,0.672332029314276,ASIA,5,0.06917495648314267,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
6877.19,6878.69,6875.44,6876.69,320,100,0,0,0.672332029314276,ASIA,5,0.06917495648314267,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
6876.44,6876.94,6872.44,6872.44,501,100,0,0,0.672332029314276,ASIA,5,0.06917495648314267,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
6872.69,6873.44,6869.94,6870.94,545,100,0,0,0.672332029314276,ASIA,5,0.06917495648314267,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
6776.36,6776.74,6764.99,6769.99,1998,100,0,0,0.6649966185191413,ASIA,2,0.3020892126957081,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
6770.24,6772.74,6763.99,6767.99,1709,100,0,0,0.6649966185191413,ASIA,2,0.3020892126957081,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
6768.11,6778.99,6767.74,6777.49,1908,100,0,0,0.6649966185191413,ASIA,2,0.3020892126957081,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
6777.61,6779.49,6765.74,6769.64,1672,100,0,0,0.6649966185191413,ASIA,2,0.3020892126957081,day_anchor_std,server_midnight,1,0,0,0,BALANCE_LEAKING,BALANCE_LEAKING,BALANCE
6815.04,6816.79,6793.54,6795.29,1948,100,0,1,0.8072078622393611,NY,3,2.284123249595354,day_anchor_std,server_midnight,0,0,1,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
