open,high,low,close,tick_volume,spread,real_volume,state_hat_H2,margin_H2,ctx_session_bucket,ctx_state_age,ctx_dist_vwap_atr,ctx_vwap_source,ctx_vwap_anchor,LOOK_FOR_balance_vwap_proximity,LOOK_FOR_balance_extreme_to_center,LOOK_FOR_balance_compression,LOOK_FOR_balance_vwap_body_deviation,LOOK_FOR_trend_strong_orderly,LOOK_FOR_trend_liquidity_sweep,LOOK_FOR_trend_prev_vwap_pullback,LOOK_FOR_transition_chop_near_vwap,LOOK_FOR_transition_acceptance,quality_label,quality_label_full,base_state
1845.85,1846.87,1845.61,1846.67,0,0,0,1,0.4304589392102975,ASIA,2,0.7615290355360201,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
1846.62,1847.14,1844.8,1844.85,0,0,0,1,0.7334498589322491,ASIA,3,0.8936922927397852,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
1844.92,1846.92,1844.68,1846.38,0,0,0,1,0.7334498589322491,ASIA,3,0.8936922927397852,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
1846.39,1849.03,1845.85,1848.45,0,0,0,1,0.7334498589322491,ASIA,3,0.8936922927397852,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
1848.47,1848.52,1846.0,1847.93,0,0,0,1,0.7334498589322491,ASIA,3,0.8936922927397852,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
1847.94,1853.34,1847.51,1853.02,0,0,0,1,0.9890152357147022,LONDON,4,2.003358860674434,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1853.05,1858.65,1852.94,1858.29,0,0,0,1,0.9890152357147022,LONDON,4,2.003358860674434,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1858.26,1864.51,1857.02,1863.85,0,0,0,1,0.9890152357147022,LONDON,4,2.003358860674434,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1863.85,1865.12,1859.28,1860.0,0,0,0,1,0.9890152357147022,LONDON,4,2.003358860674434,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1859.94,1861.82,1858.9,1861.73,0,0,0,1,0.9965222731327796,LONDON,5,1.7181643019793162,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
