open,high,low,close,tick_volume,spread,real_volume,state_hat_H1,margin_H1,ctx_session_bucket,ctx_state_age,ctx_dist_vwap_atr,ctx_vwap_source,ctx_vwap_anchor,LOOK_FOR_transition_repricing_near_vwap,LOOK_FOR_transition_dislocated_from_vwap,LOOK_FOR_balance_dislocated_from_vwap,LOOK_FOR_trend_late_session,quality_label,quality_label_full,base_state
807.55,808.25,807.25,807.4,0,0,0,0,0.8840668115266558,NY,1,0.48951048951049103,day_anchor_std,server_midnight,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
807.35,808.25,807.35,807.75,0,0,0,0,0.8840668115266558,NY,1,0.48951048951049103,day_anchor_std,server_midnight,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
807.65,807.65,806.85,806.95,0,0,0,0,0.8840668115266558,NY,1,0.48951048951049103,day_anchor_std,server_midnight,0,0,0,0,UNCLASSIFIED,BALANCE_UNCLASSIFIED,BALANCE
807.05,808.2,807.05,808.15,0,0,0,1,0.9891482513133389,NY,1,0.7677634716260962,day_anchor_std,server_midnight,1,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
808.35,809.05,808.25,808.65,0,0,0,1,0.9891482513133389,NY,1,0.7677634716260962,day_anchor_std,server_midnight,1,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
808.7,808.85,808.0,808.4,0,0,0,1,0.9891482513133389,NY,1,0.7677634716260962,day_anchor_std,server_midnight,1,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
808.5,809.45,808.5,809.2,0,0,0,1,0.9891482513133389,NY,1,0.7677634716260962,day_anchor_std,server_midnight,1,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
809.4,809.7,808.95,808.95,0,0,0,1,0.9688911418722428,NY,2,0.6350515463917686,day_anchor_std,server_midnight,1,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
808.85,809.7,808.85,809.65,0,0,0,1,0.9688911418722428,NY,2,0.6350515463917686,day_anchor_std,server_midnight,1,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
809.85,810.25,809.85,809.95,0,0,0,1,0.9688911418722428,NY,2,0.6350515463917686,day_anchor_std,server_midnight,1,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
810.0,810.1,808.95,809.2,0,0,0,1,0.9688911418722428,NY,2,0.6350515463917686,day_anchor_std,server_midnight,1,0,0,0,TRANSITION_NOISY,TRANSITION_NOISY,TRANSITION
809.4,809.5,807.55,807.7,0,0,0,1,0.9318822190242486,NY_PM,3,0.11159420289850772,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
807.75,807.8,805.95,806.15,0,0,0,1,0.9318822190242486,NY_PM,3,0.11159420289850772,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
806.2,807.7,805.75,805.75,0,0,0,1,0.9318822190242486,NY_PM,3,0.11159420289850772,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
805.85,807.85,805.85,807.85,0,0,0,1,0.9318822190242486,NY_PM,3,0.11159420289850772,day_anchor_std,server_midnight,1,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
808.35,808.55,806.15,806.55,0,0,0,1,0.9962915469131804,NY_PM,4,1.1126177024482728,day_anchor_std,server_midnight,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
806.8,806.8,805.55,805.55,0,0,0,1,0.9962915469131804,NY_PM,4,1.1126177024482728,day_anchor_std,server_midnight,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
805.45,805.75,805.25,805.55,0,0,0,1,0.9962915469131804,NY_PM,4,1.1126177024482728,day_anchor_std,server_midnight,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
