symbol,episode_id,setup_family,side_intent,meta_baseline_id,start_ts,end_ts,n_bars
XAUUSD.mg,749,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-10-16 22:00:00,2024-10-17 00:00:00,2
XAUUSD.mg,750,balance_stability,NONE,BALANCE_STABILITY,2024-10-17 10:00:00,2024-10-17 12:00:00,2
XAUUSD.mg,751,state_reinforcement,LONG,STATE_REINFORCEMENT,2024-10-18 02:00:00,2024-10-18 16:00:00,7
XAUUSD.mg,752,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-10-21 06:00:00,2024-10-21 06:00:00,1
XAUUSD.mg,753,state_reinforcement,LONG,STATE_REINFORCEMENT,2024-10-21 12:00:00,2024-10-21 14:00:00,2
XAUUSD.mg,754,balance_stability,NONE,BALANCE_STABILITY,2024-10-22 00:00:00,2024-10-22 00:00:00,1
XAUUSD.mg,755,state_reinforcement,LONG,STATE_REINFORCEMENT,2024-10-22 20:00:00,2024-10-23 08:00:00,2
XAUUSD.mg,756,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-10-23 22:00:00,2024-10-24 02:00:00,3
XAUUSD.mg,757,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-10-24 04:00:00,2024-10-24 04:00:00,1
XAUUSD.mg,758,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-10-25 14:00:00,2024-10-25 14:00:00,1
XAUUSD.mg,759,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-10-25 22:00:00,2024-10-28 02:00:00,3
XAUUSD.mg,760,balance_stability,NONE,BALANCE_STABILITY,2024-10-28 06:00:00,2024-10-28 06:00:00,1
XAUUSD.mg,761,transition_persistence,SHORT,TRANSITION_PERSISTENCE,2024-10-28 08:00:00,2024-10-28 12:00:00,2
XAUUSD.mg,762,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-10-28 14:00:00,2024-10-28 14:00:00,1
XAUUSD.mg,763,balance_stability,NONE,BALANCE_STABILITY,2024-10-28 22:00:00,2024-10-28 22:00:00,1
XAUUSD.mg,764,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-10-29 06:00:00,2024-10-29 12:00:00,2
XAUUSD.mg,765,state_reinforcement,LONG,STATE_REINFORCEMENT,2024-10-29 18:00:00,2024-10-30 10:00:00,6
XAUUSD.mg,766,transition_persistence,LONG,TRANSITION_PERSISTENCE,2024-10-30 22:00:00,2024-10-30 22:00:00,1
XAUUSD.mg,767,balance_stability,NONE,BALANCE_STABILITY,2024-10-31 04:00:00,2024-10-31 08:00:00,3
