symbol,setup_family,baseline_id,episode_id,intent_side,entry_ts,horizon_bars,is_virtual_pair
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,108,SHORT,2023-05-15 18:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,109,LONG,2023-05-15 19:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,110,LONG,2023-05-16 14:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,111,LONG,2023-05-16 16:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,112,SHORT,2023-05-17 17:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,113,SHORT,2023-05-18 14:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,114,LONG,2023-05-18 19:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,115,LONG,2023-05-19 15:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,116,SHORT,2023-05-22 19:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,117,LONG,2023-05-23 14:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,118,LONG,2023-05-24 16:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,119,SHORT,2023-05-25 21:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,120,SHORT,2023-05-26 17:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,122,LONG,2023-05-29 17:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,123,SHORT,2023-05-30 14:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,124,LONG,2023-05-30 20:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,125,LONG,2023-05-31 16:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,126,SHORT,2023-06-01 14:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,128,LONG,2023-06-02 21:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,129,SHORT,2023-06-05 17:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,130,LONG,2023-06-05 19:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,132,SHORT,2023-06-06 17:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,133,SHORT,2023-06-07 14:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,134,SHORT,2023-06-07 16:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,135,SHORT,2023-06-07 17:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,136,SHORT,2023-06-07 18:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,137,SHORT,2023-06-08 14:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,138,SHORT,2023-06-08 17:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,139,SHORT,2023-06-08 19:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,140,SHORT,2023-06-08 20:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,141,SHORT,2023-06-09 14:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,142,LONG,2023-06-09 18:00:00,16,False
USDCLP.mg,transition_persistence,TRANSITION_PERSISTENCE,143,SHORT,2023-06-13 18:00:00,16,False
USDCLP.mg,transition_resolution,TRANSITION_RESOLUTION,145,SHORT,2023-06-15 17:00:00,16,False
