symbol,episode_id,setup_family,baseline_id,intent_side,entry_ts,horizon_bars,entry_close,mfe_points,mae_points,mfe_bps,mae_bps,mfe_gt_mae,exit_ts,n_window,is_virtual_pair,ooto_tp_bps,ooto_sl_bps,ooto_outcome
USDCLP.mg,128,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-06-02 21:00:00,16,798.75,3.2999999999999545,3.6000000000000227,41.31455399060976,45.070422535211556,False,2023-06-06 19:00:00,16,False,,,
USDCLP.mg,130,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-06-05 19:00:00,16,799.25,2.7999999999999545,7.2999999999999545,35.03284329058435,91.33562715045299,False,2023-06-07 16:00:00,16,False,,,
USDCLP.mg,142,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-06-09 18:00:00,16,787.95,20.899999999999977,4.75,265.24525667872297,60.28301288152801,True,2023-06-13 16:00:00,16,False,,,
USDCLP.mg,146,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-06-16 19:00:00,16,794.35,9.899999999999977,2.25,124.63020079310098,28.325045634795742,True,2023-06-20 17:00:00,16,False,,,
USDCLP.mg,148,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-06-16 21:00:00,16,793.95,10.299999999999955,0.10000000000002274,129.7310913785497,1.2595251590153376,True,2023-06-20 19:00:00,16,False,,,
USDCLP.mg,150,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-06-29 14:00:00,16,801.55,2.300000000000068,2.7999999999999545,28.694404591105585,34.93231863264868,False,2023-06-30 20:00:00,16,False,,,
USDCLP.mg,152,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-06-29 22:00:00,16,802.95,0.1999999999999318,6.25,2.4908151192469243,77.83797247649292,False,2023-07-03 20:00:00,16,False,,,
USDCLP.mg,154,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-07-03 21:00:00,16,797.75,1.6000000000000227,3.8999999999999773,20.056408649326514,48.887496082732405,False,2023-07-05 18:00:00,16,False,,,
USDCLP.mg,159,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-07-06 14:00:00,16,801.35,6.600000000000023,1.3000000000000682,82.36101578586164,16.22262432145839,True,2023-07-07 20:00:00,16,False,,,
USDCLP.mg,161,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-07-06 20:00:00,16,801.95,12.399999999999977,0.40000000000009095,154.62310617868917,4.987842134797567,True,2023-07-10 18:00:00,16,False,,,
USDCLP.mg,163,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-07-07 16:00:00,16,805.75,14.299999999999955,0.7999999999999545,177.47440273037483,9.928637914985474,True,2023-07-11 16:00:00,16,False,,,
USDCLP.mg,165,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-07-07 18:00:00,16,805.95,14.099999999999909,1.0,174.94881816489743,12.407717600347416,True,2023-07-11 18:00:00,16,False,,,
USDCLP.mg,169,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-07-17 14:00:00,16,821.05,2.5,7.699999999999932,30.448815541075454,93.78235186651156,False,2023-07-18 20:00:00,16,False,,,
USDCLP.mg,171,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-07-18 15:00:00,16,817.55,2.4500000000000455,11.0,29.967586080362615,134.54834566693168,False,2023-07-19 21:00:00,16,False,,,
USDCLP.mg,173,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-07-19 14:00:00,16,814.95,3.099999999999909,12.0,38.03914350573543,147.24829744156082,False,2023-07-20 20:00:00,16,False,,,
USDCLP.mg,176,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-07-21 15:00:00,16,820.4,9.550000000000068,4.5499999999999545,116.40663091175121,55.46075085324177,True,2023-07-24 22:00:00,16,False,,,
USDCLP.mg,179,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-07-25 19:00:00,16,829.05,1.5,7.5,18.09299800977022,90.46499004885109,False,2023-07-27 16:00:00,16,False,,,
USDCLP.mg,181,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-07-25 22:00:00,16,828.45,1.5,6.900000000000091,18.10610175629187,83.28806807894371,False,2023-07-27 19:00:00,16,False,,,
USDCLP.mg,184,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-07-27 15:00:00,16,823.75,6.0,0.6499999999999773,72.83763277693475,7.890743550834323,True,2023-07-28 21:00:00,16,False,,,
USDCLP.mg,186,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-07-27 17:00:00,16,825.65,15.899999999999977,2.199999999999932,192.57554653909014,26.645673106036842,True,2023-07-31 15:00:00,16,False,,,
USDCLP.mg,189,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-07-28 16:00:00,16,826.4,18.649999999999977,2.1000000000000227,225.6776379477248,25.411423039690497,True,2023-08-01 14:00:00,16,False,,,
USDCLP.mg,192,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-08-01 17:00:00,16,843.25,10.399999999999977,4.2999999999999545,123.3323450933884,50.99318114438132,True,2023-08-03 14:00:00,16,False,,,
USDCLP.mg,196,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-08-03 14:00:00,16,853.55,5.600000000000023,10.949999999999932,65.60834163200776,128.28773944115673,False,2023-08-04 20:00:00,16,False,,,
USDCLP.mg,199,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-08-07 14:00:00,16,851.45,16.09999999999991,1.2000000000000455,189.0892007751472,14.09360502671966,True,2023-08-08 20:00:00,16,False,,,
USDCLP.mg,201,transition_persistence,TRANSITION_PERSISTENCE,LONG,2023-08-08 14:00:00,16,863.25,4.2999999999999545,8.0,49.81175789168786,92.6730379380249,False,2023-08-09 20:00:00,16,False,,,
